Titre,Entreprise,Description,Niveau d'étude,Expérience,Contrat,Lieu,Compétences,Lien
Soudeur - Abidjan,SIMAM COTE D'IVOIRE,"Nous sommes à la recherche d'un  Soudeur. Sous l’autorité du Responsable Gestion des Stocks, le/la titulaire du poste aura pour mission de concevoir des structures métalliques (palettes, accessoires de palettes et autres). A ce titre, il/elle sera chargé (e) de : Préparer son environnement de travail en suivant les consignes de sécurité préétablies ; Assembler les pièces par les procédés de soudure en respectant les consignes de sécurité ; Réparer les palettes, accessoires de palettes et autres matériels endommagés ; Traiter les palettes HS du centre remplisseur suivants les objectifs définis électriques ; Vérifier et contrôler la conformité de la soudure réalisée en respectant les cahiers de charge ;...",Non spécifié,Non spécifié,CDI,Abidjan,Chaudronnerie - Chaudronnerie Métallique - Maintenance - Sécurité,https://www.emploi.ci/offre-emploi-cote-ivoire/soudeur-abidjan-1521623
Stagiaire en Informatique - Cocody,AKWABA TECHNOLOGIES SOLUTIONS,"Tu es un-e geek proactif·ve, responsable, curieux·se, passionné·e par les technologies du Web.Rejoins notre équipe pour développer nos solutions à haute valeur ajoutée et bien plus encore... Nous sommes à la recherche des  Stagiaires en Informatique.   Missions : Développer des fonctionnalités en construisant un code de qualité : maintenable & scalable Contribuer aux choix d’architecture du projet et à la stack technique Aider ton client à prioriser les fonctionnalités produit pour apporter un maximum de valeur à son business Contribuer à des projets d’implémentation et/ou des activités de maintenance Participer à la conception de produits informatiques Gérer...",Non spécifié,Non spécifié,Stage,Abidjan,API - C++ - CSS - HTML - JAVA - MYSQL - OPEN SOURCE - POSTGRESQL - SWIFT,https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-informatique-cocody-1518053
Caissière - Cocody,PROSUMA COTE DIVOIRE,"Nous sommes à la recherche des  Caissières. Missions : Encaissement des paiements : La mission principale de la caissière est de recevoir les paiements des clients pour les biens ou services qu'ils ont achetés. Cela inclut les paiements en espèces, par carte bancaire, par chèque ou par d'autres moyens de paiement. Scannage des articles : Vérification des prix des articles et enregistrement des informations relatives aux produits via un système de caisse (code-barres, saisie manuelle, etc.). Gestion de la caisse : La caissière doit s’assurer que la caisse est correctement remplie (en espèces et en monnaie), faire la remise de monnaie et s’assurer qu’il n’y a pas d’erreurs...",Non spécifié,Non spécifié,CDI,Abidjan - Bouaflé - Bouaké - Korhogo - Yamoussoukro &...,Facturation - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/caissiere-cocody-1515459
Chargé de Projet IT Bilingue - Abidjan,TRANSNUMERIK,"Nous sommes à la recherche d'un  Chargé de Projet IT Bilingue. Missions : Sous la supervision du Directeur des opérations, il ou elle s’occupera de la bonne gestion et de la livraison des projets et déploiement des solutions dont son équipe à la charge. A cet effet, Il ou elle sera responsable d’organiser, de diriger et de contrôler les ressources humaines, matérielles et financières essentielles à la réalisation des livrables de son secteur d’activité.    Il /elle réalise notamment, mais sans se limiter, les opérations suivantes : Définition des objectifs et des objectifs du projet : Déterminer les objectifs et les objectifs du projet, en collaboration avec les parties prenantes...",Non spécifié,Non spécifié,CDI & CDD,Abidjan,AGILE - CRM - ITIL - JIRA - MS PROJECT - SCRUM - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/charge-projet-it-bilingue-abidjan-1515021
Technicien Informatique - Abidjan,TGCC CÔTE D'IVOIRE,"Dans le cadre du développement de ses activités à l’international, TGCC Côte d'Ivoire recrute (1) Technicien Informatique en Côte d'Ivoire. Missions : Basé à Abidjan, les missions évolutives du poste portent notamment sur : Installer, configurer et maintenir des matériaux informatiques (Postes et périphériques). Installer et configurer de nouveaux logiciels, systèmes d’exploitation, Antivirus... Installer, paramétrer, assistance téléphone, télémaintenance, ou déplacement sur site en cas de nécessité, pour les postes clients (ordinateurs, imprimantes), ainsi que des serveurs centraux et locaux. Maintenir la sécurité du système, et traitement des problèmes matériels et logiciels",Non spécifié,Non spécifié,CDD,Abidjan,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-informatique-abidjan-1509666
Bénévoles - Cote D´Ivoire,JIGUEN AFRICA,"Jiguen Africa est une organisation à but non lucratif dédiée à l'autonomisation des femmes et des filles en Afrique subsaharienne, en particulier dans les domaines de l'entrepreneuriat et du développement durable depuis 2022. ""Jiguen"" signifie ""femme"" en wolof, une langue largement parlée au Sénégal et dans d'autres parties de l'Afrique de l'Ouest. Objectifs principaux : Promotion de l'égalité des genres : Encourager la participation active des femmes dans des secteurs souvent dominés par les hommes, tels que les technologies, les sciences ou les énergies renouvelables. Autonomisation économique : Offrir des formations, du mentorat, et des opportunités pour aider les...",Non spécifié,Non spécifié,Stage,Abidjan - Bouaké & Yamoussoukro,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/benevoles-cote-ivoire-1525645
Conseiller Clientèle Profil Commercial CIV - Abidjan,MAJOREL,"Nous sommes à la recherche des  Chargés de Clientèle Francophones CIV. Missions : Rattaché au Responsable du Groupe, le  Chargé de Clientèle   est amené à : Répondre aux demandes d’informations, de renseignements ou de réclamations des clients. Énergique, il se doit toujours d'être souriant, aimable et dynamique. Le chargé de clientèle doit avoir le sens de l’écoute pour comprendre et résoudre les problèmes posés par ses interlocuteurs dans un délai raisonnable. Dès votre premier jour d’intégration au sein de l’entreprise, un accompagnement permanent vous sera octroyé. Une formation vous sera dispensée afin de vous apprendre les rudiments du métier et vous doter...",Non spécifié,Non spécifié,Stage,Abidjan,Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/conseiller-clientele-profil-commercial-civ-abidjan-1521387
Peintre - Abidjan,SIMAM COTE D'IVOIRE,"Nous sommes à la recherche d'un  Peintre. Sous l’autorité du Responsable Gestion des Stocks, le/la titulaire du poste aura pour mission de peindre les palettes et réaliser les travaux de réparation et finition. A ce titre, il/elle sera chargé (e) de : Préparer les surfaces à peindre (dégraissage, sablage, masticage, ponçage…) ; Tracer et marquer la surface à peindre ; Préparer les produits à appliquer (quantité, teinte, mélange…) ; Appliquer l’antirouille ou anti-corrosion des palettes ; Appliquer les produits au pistolet ou pinceau (peintures, vernis, laques) ; Contrôler la surface : repérer les produits non conformes, réaliser les retouches, reprendre les finitions ;...",Non spécifié,Non spécifié,CDI,Abidjan,Formation - Réparation,https://www.emploi.ci/offre-emploi-cote-ivoire/peintre-abidjan-1521646
Contrôleur de Stock - Abidjan,SIMAM COTE D'IVOIRE,"Nous sommes à la recherche d'un  Contrôleur de Stock. Sous l’autorité du Responsable Gestion de Stocks le/la titulaire du poste aura pour mission d’assurer le contrôle de stocks des camions avant et après chargement. A ce titre, il/elle sera chargé (e) de : Réceptionner les commandes de SIMAM Abidjan, SIMAM Intérieur, mandataires et autre prestataires (PI & VIVO) ; Contrôler les camions à l'entrée et à la sortie du centre remplisseur ; Établir les bons de livraisons et bons de transfert internes de marchandises ; Participer aux inventaires journaliers au centre emplisseur ; Faire le point journalier des sorties du centre remplisseur ;",Non spécifié,Non spécifié,CDD,Abidjan,Chargement - Comptabilité - Finance - Gestion - Gestion Logistique - Stocks - Transport,https://www.emploi.ci/offre-emploi-cote-ivoire/controleur-stock-abidjan-1520146
Chargé de Clientèle Francophone CIV - Abidjan,MAJOREL,"Nous sommes à la recherche des  Chargés de Clientèle Francophones CIV. Missions  : Rattaché au Responsable du Groupe, le  Chargé de Clientèle  est amené à : Répondre aux demandes d’informations, de renseignements ou de réclamations des clients. Énergique, il se doit toujours d'être souriant, aimable et dynamique. Le chargé de clientèle doit avoir le sens de l’écoute pour comprendre et résoudre les problèmes posés par ses interlocuteurs dans un délai raisonnable. Dès votre premier jour d’intégration au sein de l’entreprise, un accompagnement permanent vous sera octroyé. Une formation vous sera dispensée afin de vous apprendre les rudiments du métier et vous doter...",Non spécifié,Non spécifié,Stage,Abidjan,Télémarketing - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/charge-clientele-francophone-civ-abidjan-1519142
Commercial - Abidjan,CABINET BIOPHARMA,Nous recrutons des Commerciaux. Missions : Générer et développer les ventes de nos produits de santé et notre porte feuille clients.,Non spécifié,Non spécifié,CDD & Stage,Abidjan,Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1521415
Directeur Général Adjoint (Bilingue Anglais-Francais) - Sinematiali,RECRUITMENT,"Fruiteq Côte d’Ivoire, acteur majeur dans la production et l’exportation de fruits frais et séchés, recherche un  Directeur Général Adjoint (DGA)  pour accompagner son développement stratégique et opérationnel. Missions principales : Sous l'autorité du Directeur Général, le Directeur Général Adjoint aura pour missions : Participer à la définition et à la mise en œuvre de la stratégie globale de l’entreprise. Superviser les opérations de production, de transformation et d’exportation, en veillant au respect des normes de qualité et des délais. Contribuer à la gestion des ressources humaines et au développement des talents. Élaborer et suivre les budgets opérationnels. Développer...",Non spécifié,Non spécifié,CDD,Korhogo,Développement Stratégique - Gestion - Leadership - Management - Stratégie,https://www.emploi.ci/offre-emploi-cote-ivoire/directeur-general-adjoint-bilingue-anglais-francais-sinematiali-1519328
Agent Mandataire - Abidjan,AGREBOOK CI,Nous sommes à la recherche des  Agents Mandataire. Mission : Le candidat se en charge de présenter les différents produits de l'entreprise auprès de ses clients.,Non spécifié,Non spécifié,"CDI, CDD & Freelance",Abidjan,Communication - Communication Marketing - Marketing - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/agent-mandataire-abidjan-1518843
Intégrateur Multimédia - H/F - Abidjan,ELEARNING STUDIO,"Nous sommes à la recherche des  Intégrateurs Multimédia - H/F. Le poste Vous êtes intégré(e) au sein d'une équipe jeune, soudée et dynamique, dans une entreprise innovante et en forte croissance dans le domaine des technologies e-learning. Vous avez une bonne expérience des outils de création et manipulation de contenus multimédia comme PowerPoint et Windows Movie Maker. À l’issue d’une formation sur nos outils, vous rejoindrez l’équipe d’intégrateurs de contenus de formation d’e-learning Studio pour travailler activement sur ses projets dans un esprit Startup avec un package attractif. Les responsabilités : Sous la direction d’un Team Leader, vous aurez la charge de...",Non spécifié,Non spécifié,"CDI, CDD & Stage",Abidjan,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/integrateur-multimedia-hf-abidjan-1514129
"Graphiste, Concepteur de Présentation - H/F - Abidjan",ELEARNING STUDIO,"Nous sommes à la recherche d'un(e) Graphiste, Concepteur de Présentation - H/F. Vous avez la charge de la conception graphique d'outils de formation innovants à destination des entreprises locales. Intégré à l'équipe Opérations, vous intervenez tout au long des projet clients pour concevoir des modules de formations de qualité professionnelle sur le plan du graphisme et de l'ergonomie. Missions : Au sein de l'équipe de conception et production des modules de formations, vous aurez la charge de : Conçoit et produit des maquettes de modules e-learning à partir des besoins exprimés par le client. Doit penser de manière créative pour produire de nouvelles idées et de nouveaux concepts et...",Non spécifié,Non spécifié,"CDI, CDD & Stage",Abidjan,ILLUSTRATOR - INDESIGN - MICROSOFT - PHOTOSHOP,https://www.emploi.ci/offre-emploi-cote-ivoire/graphiste-concepteur-presentation-hf-abidjan-1514366
Responsable Commercial Pays - Abidjan,AFRICAWORK,"Nous sommes à la recherche d'un  Responsable Commercial Pays. Missions : Il participe à garantir le chiffre d'affaires et la marge commerciale du pays qu’il gère. Il peut participer à la définition de la stratégie commerciale et a la responsabilité de l’exécuter. Il propose les objectifs et les axes prioritaires des actions commerciales. Participer à la définition de la politique commerciale de l'entreprise, à partir de la stratégie de l'entreprise Assurer le suivi et la bonne tenue du pipeline à travers une revue hebdomadaire avec l’équipe commerciale du pays concerné Promouvoir l'image et la notoriété de l'entreprise Participer à la négociation sur certains comptes...",Non spécifié,Non spécifié,CDI,Abidjan,Actions Commerciales - Négociation - Stratégie Commerciale - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-commercial-pays-abidjan-1513844
Commercial - Abidjan,LOGODOUMAN,"Nous recherchons notre futur(e) Commercial(e) (H/F) pour notre local situé à Anyama (Abidjan, Côte d'Ivoire). Missions : ﻿﻿Assurer la réception des nouveaux arrivages de colis et confirmer la qualité et la quantité puis reporter l'information à la direction ﻿﻿Effectuer des publications sur les différents réseaux sociaux dans le but de promouvoir nos articles. ﻿﻿Assurer le suivi des commandes et du stock ﻿﻿Assurer certaines livraisons de commandes ﻿﻿Faire l'inventaire des articles disponibles une fois par mois. ﻿﻿Collaborer avec les autres membres de l'équipe Logodouman pour le succès de vos missions. ﻿﻿Mettre en place une stratégie de croissance de l'activité dans la zone Abidjan ﻿﻿Vous...",Non spécifié,Non spécifié,CDD,Abidjan,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1514409
Chargé(e) de Relations Publiques et Partenariats - Abidjan,AFROBEAT INTERNATIONAL,"Afrobeat International recherche un(e) Chargé(e) de Relations Publiques et Partenariats talentueux(se) et motivé(e) pour développer notre réseau de collaborations stratégiques et renforcer la visibilité de notre radio. Vous serez responsable de la mise en place et du suivi des partenariats clés avec des entreprises, des organisations, et des personnalités influentes dans les domaines de la musique, de la culture, et des médias.",Non spécifié,Non spécifié,CDD,Abidjan,Assistanat - Communication - Relations Publiques - Secrétariat,https://www.emploi.ci/offre-emploi-cote-ivoire/chargee-relations-publiques-partenariats-abidjan-1514057
Professeur ou Tuteur de Maths ou Physique-Chimie - Abidjan,COURS-EN-VISIO,"Nous sommes une startup française, dont la plateforme est basée à Abidjan spécialisée dans le soutien scolaire en ligne (cours particuliers en visio-conférence) à des élèves, collégiens et lycéens résidant en France. Dans le cadre de notre croissance nous recrutons des collaborateurs Professeur ou Tuteur de Maths ou Physique-Chimie. Missions confiées :  Vous aurez en charge l'accompagnement scolaire des élèves dans les matières citées ci-dessus à savoir: évaluation de leurs compétences acquises et celles mal acquises répétition de ce qu'ils ont étudié en classe mise en place d'un plan de travail pour combler leurs lacunes ainsi que d'une méthodologie les aider à rédiger les devoirs de maison...",Non spécifié,Non spécifié,Freelance & Temps partiel,Abidjan,Accompagnement,https://www.emploi.ci/offre-emploi-cote-ivoire/professeur-tuteur-maths-physique-chimie-abidjan-1514046
"COMMERCIAUX DE VEHICULES POIDS LOURDS ET MACHINE DE BTP (H/F) - Abidjan, Attinguié PK 30",ZONDACI SARL,"En tant que Commercial(e) de véhicules poids lourds (Bennes, Tracteurs, Semi-remorques, Plateaux) et Légers (Tank, Forland, Dongfeng) et machines de BTP (Bulldozers, Excavateurs, Niveleuses, Chargeuses, Compacteurs), vous serez responsable de promouvoir et de vendre notre gamme de véhicules à une clientèle variée. Votre rôle consistera à développer de nouveaux clients tout en entretenant des relations solides avec les clients existants. Vous travaillerez en étroite collaboration avec l'équipe de vente pour atteindre et dépasser les objectifs fixés.",Non spécifié,Non spécifié,CDD,Abidjan - Bouaké - Korhogo & Yamoussoukro,Communication - Communication de Produit - Marketing - Négociation - Négociation Commerciale - Prospection - Prospection Client - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commerciaux-vehicules-poids-lourds-machine-btp-hf-abidjan-attinguie-pk-30
Community Manager - Abidjan,SMYRNE GROUPE CI,Nous sommes à la recherche d'un  Community Manager. Missions : Développer le marketing sur les réseaux sociaux et élargir la clientèle. Créer des visuels attractifs grâce à une bonne maîtrise de photoshop et de la retouche photo. Élaborer et mettre en œuvre des stratégies de vente pour atteindre les objectifs commerciaux. Analyser les tendances pour identifier les opportunités et ajuster les stratégies de vente,Non spécifié,Non spécifié,CDI & CDD,Abidjan,Maîtrise Technique - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/community-manager-abidjan-1517512
Référenceur(se) SEO Google / Webmaster - Télétravail,OPTIMUM INTERIM,"Nous sommes à la recherche des  Référenceurs SEO Google / Webmaster. Missions : Vous devrez faire monter des sites en referencement dans la recherche Google, par tous les moyens possibles. (Blogs, baclinks...) Il faut bien maitriser Wordpress, vous devrez implémenter vous-mêmes les blogs sur les sites Wordpress. Il faut bien avoir de très bonnes notions de Seo, pour faire des blogs utiles au référencement Google, en longueur et en qualité pour le robot de Google. Vous devrez copier des blogs existants principalement avec chat gpt, et Ahrefs, donc plutôt simple, vous n’avez pas à créer des blogs de a à z. Il y aura aussi la possibilité de gérer des réseaux sociaux. Les sites sont destinés à...",Non spécifié,Non spécifié,Freelance,International,Référencement Naturel - Référencement SEO - Référencement Web - SEO - WORDPRESS,https://www.emploi.ci/offre-emploi-cote-ivoire/referenceurse-seo-google-webmaster-teletravail-1505668
Technico-Commercial Réseaux Informatique et Télécom - Abidjan,NUCLEUS SARL,"Nous sommes à la recherche d'un  Technico-Commercial Réseaux Informatique et Télécom. Rattachement hiérarchique : Directeur commercial et Directeur des opérations Mission principale : Développer un portefeuille client en proposant des solutions techniques (téléphonie IP, réseaux télécom, fournitures informatiques) et gérer toutes les étapes de réponse aux appels d’offres, en plus de concevoir des plans techniques à l’aide de logiciels comme AutoCAD. Responsabilités : Dimension commerciale Prospecter, développer et fidéliser un portefeuille clients. Identifier les besoins spécifiques des clients et proposer des solutions adaptées. Assurer le suivi des contrats et commandes pour...",Non spécifié,Non spécifié,CDD,Abidjan,AUTOCAD - VLAN - VOIP - WAN,https://www.emploi.ci/offre-emploi-cote-ivoire/technico-commercial-reseaux-informatique-telecom-abidjan-1514050
Testeur en Automatisation (H/F) - Abidjan,ECOLE TESTPRO,"À propos de l’École TestPro L’École TestPro est un leader dans la formation certifiante en test logiciel et ingénierie des exigences (ISTQB, IQBBA, IREB). Nous formons des professionnels pour répondre aux besoins croissants du marché technologique en Afrique et à l’international. Nous offrons aux entreprises une équipe de testeurs professionnels, assurant une gestion collective des ressources pour accompagner vos projets tout au long du cycle de vie du développement logiciel. Nous proposons également des services d’externalisation des tests dans nos locaux en mode régie. Dans le cadre de notre développement, nous recherchons un ou plusieurs Testeurs en Automatisation (H/F) à Abidjan. Missions...",Non spécifié,Non spécifié,CDI & CDD,Abidjan & International,AGILE - JAVA - JUNIT - SELENIUM - SQL,https://www.emploi.ci/offre-emploi-cote-ivoire/testeur-automatisation-hf-abidjan-1514128
Technicien de Maintenance Agro-alimentaire,MAINTENANCE AKADEMY,"Nous sommes à la recherche d'un  Technicien de Maintenance en Agro-alimentaire. Missions : Observer, écouter, toucher, sentir : tous les sens du technicien de maintenance doivent être en éveil pour anticiper les dysfonctionnements Analyser, diagnostiquer les causes et trouver les remèdes à un dysfonctionnement Dépanner, réparer dans les meilleurs délais Modifier ou fiabiliser un équipement pour faciliter les opérations de maintenance ou l'améliorer.",Non spécifié,Non spécifié,CDI,International,Agroalimentaire - Automatisme - DU - Équipement - Hydraulique - Hydraulique Pneumatique - Industrie - Maintenance - Maintenance Hydraulique - Mécanique Hydraulique - Pneumatique - Production - Qualité - Qualité Agroalimentaire,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-maintenance-agro-alimentaire-1388547
Technicien de Maintenance Polyvalent - France,MAINTENANCE AKADEMY,Nous sommes à la recherche d'un  Technicien de Maintenance Polyvalent. Missions : Effectuer la maintenance préventive et corrective des équipements de production Diagnostiquer les pannes et effectuer les réparations nécessaires Collaborer avec les équipes de production pour résoudre rapidement les problèmes techniques Participer à l'installation et à la mise en service de nouveaux équipements Documenter toutes les interventions et maintenir les dossiers de maintenance à jour.,Non spécifié,Non spécifié,CDI,International,Automatisme - Hydraulique - Maintenance - Maintenance Préventive - Pneumatique - Production - Qualité,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-maintenance-polyvalent-france-1444159
Conducteur Moulin - Divers Villes en France,MAINTENANCE AKADEMY,"Nous sommes à la recherche d'un  Conducteur Moulin  Missions Met en œuvre , contrôle et pilote les opérations de mélange, de nettoyage, de conditionnement et de mouture des blés selon le programme déterminé par le Chef meunier. Applique les procédures et les consignes de fabrication du service moulin Effectue les contrôles nécessaires au pilotage du moulin et les prélèvements d’échantillons pour le laboratoire d’analyses et le fournil de panification Effectue un relevé journalier des stocks de farines et produits Met en place et suit les enregistrements nécessaires à la traçabilité des farines et ingrédients Réalise et enregistre les contrôles garantissant la sécurité des aliments Est...",Non spécifié,Non spécifié,CDI,International,Fabrication - Maintenance - Process - Processus - Production - Qualité,https://www.emploi.ci/offre-emploi-cote-ivoire/conducteur-moulin-divers-villes-france-1478697
Gérant(e) Point Orange Money - Abidjan,AFRICAWORK,Agence Orange Money recrute des Gérants(es) pour la gestion d'un point mobile money. Missions : Effectuer des retraits et dépôts d’argent ; Enregistrement des clients ; Effectuer un Reporting journalier ;,Non spécifié,Non spécifié,CDD,Abidjan,Comptabilité - Gestion,https://www.emploi.ci/offre-emploi-cote-ivoire/gerante-point-orange-money-abidjan-1507627
Commercial - Abidjan,GROUPE ESSOR,"Nous sommes à la recherche des Commerciaux. Missions : Le commercial terrain a pour mission principale de développer les plans de formation de l’entreprise. Au travers de tournées et de rendez-vous physiques, il mène des actions de prospection et négocie des contrats. Prospection Commerciale Démarcher par téléphone ou mail des entreprises à partir d’un fichier client Participer à des événements d'affaires pour rencontrer de nouveaux prospects Intégrer des réseaux et réseauter pour soulever de nouveaux clients potentiels Utiliser les réseaux sociaux pour identifier des opportunités et entrer en contact avec de potentiels clients Créer un plan de prospection commerciale Maîtriser le  discours...",Non spécifié,Non spécifié,"CDD, Stage & Statutaire",Abidjan - Aboisso - Agboville - Duékoué & Toumodi,Gestion de la Force de Vente - Marketing des Ventes - Négociation - Prospection - Prospection Commerciale - Suivi Commercial - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1511209
