Titre,Entreprise,Lien,Description,Autres
Coordinatrice de Programmes - Bingerville,MOONLIGHT,https://www.emploi.ci/offre-emploi-cote-ivoire/coordinatrice-programmes-bingerville-1488053,"Nous sommes à la recherche d'une  Coordinatrice de Programmes. Missions : Sous la supervision du conseil d’administration d’une association afro-féministe, vous gérez un ensemble de programmes en Côte d’Ivoire.  Vous garantissez la cohérence des programmes avec les objectifs opérationnels administratifs, financiers, humains, matériels et organisationnels.  Vous coordonnez et animez une équipe composée de 6 salariées et 70 bénévoles.  Vous assurez également le déploiement des politiques et procédures, et vous pilotez la mise en œuvre du projet associatif sur le territoire d’intervention. Enfin, vous développez et animez le plaidoyer et les partenariats. Conception, suivi...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDI; Région de : International; Compétences clés : Gestion - Gestion Budgétaire - Gestion d'Équipe - Management - Management Interculturel - Santé - Standard Operating Procedure - Suivi Administratif - Surveillance"
"Caissier(e) - Cocody, Abidjan, Cote D´Ivoire",DREAMS SELLER,https://www.emploi.ci/offre-emploi-cote-ivoire/caissiere-cocody-abidjan-cote-ivoire-1487941,"Nous sommes à la recherche des  Caissier(e)s. Mission : Gérer la Caisse
+plus","Niveau d´études requis : Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Tourisme"
Consultants Associés - Gagnoa,GREENPRO,https://www.emploi.ci/offre-emploi-cote-ivoire/consultants-associes-gagnoa-1487167,"GreenPro est une entreprise de premier plan spécialisée dans la réalisation d’étude et de projets. Elle propose également des biens et services dans les secteurs de l’agriculture, de l’agroforesterie, du foncier et de l’agro-industrie. Nous offrons des solutions innovantes et sur mesure qui répondent aux besoins spécifiques de nos clients. Nous sommes à la recherche des  Consultants Associés. Missions : Stratégie : Élaboration de plans stratégiques, définition de la vision à long terme, analyse de marché. Marketing : Développement de la marque, lancement de nouveaux produits, campagnes publicitaires. Finance : Optimisation de la gestion financière, levée de fonds, business plans....
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDD; Région de : Gagnoa & International; Compétences clés : Hydraulique"
Chauffeur VTC (H/F) - Abidjan,RUTAXI,https://www.emploi.ci/offre-emploi-cote-ivoire/chauffeur-vtc-hf-abidjan-1487322,"Nous recherchons des Chauffeurs VTC H/F motivés et professionnels pour rejoindre notre équipe dynamique. Mission : Vous serez responsable de conduire nos clients dans les meilleures conditions de sécurité et de confort, tout en offrant un service de haute qualité.
+plus","Niveau d´études requis : Qualification avant bac; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI, CDD, Intérim, Stage, Freelance, Alternance & Temps partiel; Région de : Abidjan; Compétences clés : Transport"
Ingénieur Civil de Chantier - Abidjan,AL BANI,https://www.emploi.ci/offre-emploi-cote-ivoire/ingenieur-civil-chantier-abidjan-1487370,"Nous recherchons des  Ingénieurs Civil de Chantier qualifié pour superviser les travaux de béton et de finitions sur l'ensemble du site de construction. Le candidat sera responsable de la gestion de tous les aspects du chantier, des inspections des sous-traitants, ainsi que de la coordination avec les fournisseurs et l'équipe de projet. Vous serez également chargé de produire des rapports quotidiens et mensuels. Responsabilités : Superviser et assurer la qualité de tous les travaux de béton et de finitions sur le chantier. Gérer l’ensemble des aspects du site, y compris la planification des travaux et le respect des délais. Effectuer les inspections des sous-traitants pour garantir la conformité aux...
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : Construction"
Graphiste et Concepteur Web - Abidjan,AGENCE ELLE C,https://www.emploi.ci/offre-emploi-cote-ivoire/graphiste-concepteur-web-abidjan-1487150,"L'agence  Elle C  est à la recherche d'un(e)  Graphiste et Concepteur Web  talentueux(se) pour rejoindre notre équipe en pleine expansion ! Si tu as une passion pour la création de sites web et le design graphique, et que tu souhaites travailler dans une agence dynamique qui aide les entreprises à renforcer leur présence en ligne, cette opportunité est pour toi ! Elle C est une agence spécialisée dans la communication digitale, la création de sites internet, le graphisme, et la gestion de projets événementiels. Nous aidons nos clients à développer leur visibilité en ligne grâce à des solutions sur-mesure et innovantes. Missions : Créer et gérer des  sites internet  sur des...
+plus","Niveau d´études requis : Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDI & Alternance; Région de : Abidjan; Compétences clés : Communication - Communication Digitale - Création Graphique - Design - Graphisme - ILLUSTRATOR - PHOTOSHOP - SEO - WORDPRESS"
Assistant(e) de Direction - Abidjan,TFE - TECHNIQUES FRANCAISES D'EXPORTATION,https://www.emploi.ci/offre-emploi-cote-ivoire/assistante-direction-abidjan-1487036,"Nous sommes à la recherche d'un(e)  Assistant(e) de Direction.   Missions : Filtrage des appels téléphoniques et gestion des courriers (emails, courriers postaux) Suivi de certaines tâches comptables (facturation, notes de frais) Suivi logistique des groupages (commandes dans conteneurs) avec transitaire Création des bons de livraisons, factures et recouvrement Saisies des demandes de devis clients dans Access Organisation livraisons et coursiers
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Achats - Comptabilité - Facturation - Finance - Gestion - Recouvrement"
Stagiaire Electromecanicien - Abidjan,AGRIFOR ( FORAGE ET GÉNIE RURAL ),https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-electromecanicien-abidjan-1486781,"Nous sommes à la recherche d'un  Stagiaire Electromecanicien. Missions : Nettoyage, lubrification et contrôle des équipements. Remplacement de pièces usées. Réglage des paramètres des machines. Diagnostic des pannes. Réparation des équipements défaillants. Remplacement de composants électriques, électroniques ou mécaniques.
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : Stage; Région de : Abidjan; Compétences clés : Électromécanique - Expertise Technique"
Technico-Commercial - Abidjan,DIVANA IMMOBILIER,https://www.emploi.ci/offre-emploi-cote-ivoire/technico-commercial-abidjan-1485304,"  Nous sommes à la recherche d'un  Technico-Commercial. Missions : Le technico-commercial s’appuie sur ses compétences commerciales et techniques. Il est garant du développement du chiffre d’affaires de l'entreprise Prospecte de nouveaux marchés et développement du portefeuille clients Développe des actions commerciales Assure le suivi de la vente de produits et solutions industrielles
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Abidjan & Yamoussoukro; Compétences clés : Actions Commerciales - BTP - Vente"
Agent(e) Administratif(ve) et Logistique - Bouaké,DÉVELOPPEMENT INTERNATIONAL DESJARDINS,https://www.emploi.ci/offre-emploi-cote-ivoire/agente-administratifve-logistique-bouake-1484883,"Développement international Desjardins est présentement à la recherche d’un(e) Agent(e) Administratif(ve) et Logistique pour la réalisation du projet Vulnérabilité réduire des femmes de la filière manioc du Gbêkê de Côte d’Ivoire aux changements climatiques et à la sécurité alimentaire. D’une durée de plus de 5 ans, le projet vise à accroître l’adaptation aux changements climatiques et à la sécurité alimentaire des femmes de la filière manioc de la région de Gbêké, en travaillant à lever les principales contraintes qui limitent l’adaptation aux changements climatiques. Missions : Relevant du directeur de projet, la personne recherchée contribue à la réalisation des activités opérationnelles...
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Bouaké; Compétences clés : Administration - Assistanat - Gestion Administrative - Support - WORD"
Comptable - Abidjan,SKILLSFLOW,https://www.emploi.ci/offre-emploi-cote-ivoire/comptable-abidjan-1484220,"Nous sommes à la recherche d'un  Comptable. Missions : Sous la responsabilité du Directeur Général vous aurez : Organiser la comptabilité dans son ensemble. Rassembler, coordonner et vérifier les données comptables Établissement des livres comptables Contrôle et saisie des opérations bancaires, et les relations avec les banques Classement et rangement des factures reçues Pointage des factures vs relevés de comptes Tenue de la comptabilité Fournisseurs et clients Lettrage des comptes de tiers Saisie des dépenses de caisses Saisie des écritures de paie Classement et rangement des rapports de caisse journalier Établir les factures clients (ventes). Vérifier et élaborer les bulletins et états de...
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : Comptabilité - Comptabilité Fournisseurs - Droit Fiscal - États Financiers - Finance - Formation - Gestion - Opérations Bancaires - SAGE - Trésorerie"
Technicien Superieur Dessinateur Projecteur - Abidjan,SIMO GROUP,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-superieur-dessinateur-projecteur-abidjan-1483368,"Nous sommes à la recherche d'un  Technicien Supérieur Dessinateur Projecteur. Missions : Montage des dossiers APS et APD Faire un DQE et un DÉBOURSÉ SEC après chaque études.   Logiciel Obligatoire . REVIT  (parfaite maîtrise) AUTOCAD ( une parfaite maîtrise). SKETCHUP ACHICAD LUMION ECXEL
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : AUTOCAD - Bâtiment et Travaux Publics - BTP - Dessin de Bâtiment - Génie du Bâtiment - LUMION - REVIT"
Repasseur - Abidjan,SI’CLEAN PRESSING,https://www.emploi.ci/offre-emploi-cote-ivoire/repasseur-abidjan-1482845,"Si'Clean Pressing recherche des Repasseurs Homme pour le repassage uniquement. Missions : Repasser et maitriser les techniques de repassages et manières de plier.
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDD; Région de : Abidjan"
Commercial(e) - Abidjan,WIKANDOO,https://www.emploi.ci/offre-emploi-cote-ivoire/commerciale-abidjan-1482350,"Nous sommes à la recherche d'une(e)  Commercial(e). Missions : Développer et fidéliser un portefeuille de clients existants. Identifier et prospecter de nouveaux clients potentiels. Présenter et promouvoir nos logiciels et services auprès des prospects et clients. Négocier les offres commerciales et conclure les ventes. Suivre les performances commerciales et atteindre les objectifs fixés. Collaborer avec les autres départements (technique, support client, etc.) pour garantir la satisfaction client.
+plus","Niveau d´études requis : Bac+2; Niveau d'expérience : Etudiant, jeune diplômé & Débutant < 2 ans; Contrat proposé : Stage; Région de : Abidjan; Compétences clés : Communication - CRM - Marketing - Négociation - Prospection - Vente"
Responsable Logistique - Abidjan,INB CÔTE D'IVOIRE,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-logistique-abidjan-1480988,"Nous sommes une entreprise internationale spécialisée dans la production et la vente de compléments alimentaires (nutraceutiques) visant à maintenir la santé et à améliorer la qualité de vie. Dans le cadre de l'expansion de nos activités, nous recherchons un(e) Responsable Logistique. Missions : Planification et organisation des itinéraires de livraison par coursiers à Abidjan. Suivi des délais de livraison. Rédaction de rapports sur le travail des coursiers. Interaction avec les clients et résolution des problèmes éventuels. Optimisation des processus logistiques pour améliorer l'efficacité et réduire les coûts. Suivi et analyse des indicateurs de performance des coursiers.
+plus","Niveau d´études requis : Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Activités Logistiques - Chaîne Logistique - Cotation Logistique - Gestion - Management - Planification - Transport"
